2026-02-17 09:42:02,902 | INFO | heartbeats_consumer | Starting Spark Streaming application...
2026-02-17 09:42:09,565 | INFO | heartbeats_consumer | Spark session created successfully
2026-02-17 09:42:09,567 | INFO | heartbeats_consumer | Reading from Kafka topic: heartbeats
2026-02-17 09:44:59,899 | INFO | heartbeats_consumer | Starting Spark Streaming application...
2026-02-17 09:45:05,052 | INFO | heartbeats_consumer | Spark session created successfully
2026-02-17 09:45:05,055 | INFO | heartbeats_consumer | Reading from Kafka topic: heartbeats
2026-02-17 09:45:11,538 | INFO | heartbeats_consumer | Starting Spark Streaming application...
2026-02-17 09:45:16,143 | INFO | heartbeats_consumer | Spark session created successfully
2026-02-17 09:45:16,145 | INFO | heartbeats_consumer | Reading from Kafka topic: heartbeats
2026-02-17 09:45:22,715 | INFO | heartbeats_consumer | Starting Spark Streaming application...
2026-02-17 09:45:26,798 | INFO | heartbeats_consumer | Spark session created successfully
2026-02-17 09:45:26,799 | INFO | heartbeats_consumer | Reading from Kafka topic: heartbeats
2026-02-17 09:45:33,014 | INFO | heartbeats_consumer | Starting Spark Streaming application...
2026-02-17 09:45:37,339 | INFO | heartbeats_consumer | Spark session created successfully
2026-02-17 09:45:37,341 | INFO | heartbeats_consumer | Reading from Kafka topic: heartbeats
2026-02-17 09:45:43,623 | INFO | heartbeats_consumer | Starting Spark Streaming application...
2026-02-17 09:45:47,876 | INFO | heartbeats_consumer | Spark session created successfully
2026-02-17 09:45:47,878 | INFO | heartbeats_consumer | Reading from Kafka topic: heartbeats
2026-02-17 09:45:54,851 | INFO | heartbeats_consumer | Starting Spark Streaming application...
2026-02-17 09:46:00,171 | INFO | heartbeats_consumer | Spark session created successfully
2026-02-17 09:46:00,173 | INFO | heartbeats_consumer | Reading from Kafka topic: heartbeats
2026-02-17 09:46:06,916 | INFO | heartbeats_consumer | Starting Spark Streaming application...
2026-02-17 09:46:11,773 | INFO | heartbeats_consumer | Spark session created successfully
2026-02-17 09:46:11,775 | INFO | heartbeats_consumer | Reading from Kafka topic: heartbeats
2026-02-17 09:46:17,778 | INFO | heartbeats_consumer | Starting Spark Streaming application...
2026-02-17 09:46:22,691 | INFO | heartbeats_consumer | Spark session created successfully
2026-02-17 09:46:22,692 | INFO | heartbeats_consumer | Reading from Kafka topic: heartbeats
2026-02-17 09:46:29,053 | INFO | heartbeats_consumer | Starting Spark Streaming application...
2026-02-17 09:46:34,635 | INFO | heartbeats_consumer | Spark session created successfully
2026-02-17 09:46:34,637 | INFO | heartbeats_consumer | Reading from Kafka topic: heartbeats
2026-02-17 09:46:41,262 | INFO | heartbeats_consumer | Starting Spark Streaming application...
2026-02-17 09:46:47,276 | INFO | heartbeats_consumer | Spark session created successfully
2026-02-17 09:46:47,277 | INFO | heartbeats_consumer | Reading from Kafka topic: heartbeats
2026-02-17 09:46:54,351 | INFO | heartbeats_consumer | Starting Spark Streaming application...
2026-02-17 09:46:59,745 | INFO | heartbeats_consumer | Spark session created successfully
2026-02-17 09:46:59,746 | INFO | heartbeats_consumer | Reading from Kafka topic: heartbeats
2026-02-17 09:47:06,837 | INFO | heartbeats_consumer | Starting Spark Streaming application...
2026-02-17 09:47:13,252 | INFO | heartbeats_consumer | Spark session created successfully
2026-02-17 09:47:13,253 | INFO | heartbeats_consumer | Reading from Kafka topic: heartbeats
2026-02-17 09:47:19,329 | INFO | heartbeats_consumer | Starting Spark Streaming application...
2026-02-17 09:47:24,752 | INFO | heartbeats_consumer | Spark session created successfully
2026-02-17 09:47:24,753 | INFO | heartbeats_consumer | Reading from Kafka topic: heartbeats
2026-02-17 09:47:30,573 | INFO | heartbeats_consumer | Starting Spark Streaming application...
2026-02-17 09:47:35,319 | INFO | heartbeats_consumer | Spark session created successfully
2026-02-17 09:47:35,323 | INFO | heartbeats_consumer | Reading from Kafka topic: heartbeats
2026-02-17 09:47:41,909 | INFO | heartbeats_consumer | Starting Spark Streaming application...
2026-02-17 09:47:47,161 | INFO | heartbeats_consumer | Spark session created successfully
2026-02-17 09:47:47,163 | INFO | heartbeats_consumer | Reading from Kafka topic: heartbeats
2026-02-17 09:47:52,951 | INFO | heartbeats_consumer | Starting Spark Streaming application...
2026-02-17 09:47:57,686 | INFO | heartbeats_consumer | Spark session created successfully
2026-02-17 09:47:57,691 | INFO | heartbeats_consumer | Reading from Kafka topic: heartbeats
2026-02-17 09:48:04,550 | INFO | heartbeats_consumer | Starting Spark Streaming application...
2026-02-17 09:48:10,466 | INFO | heartbeats_consumer | Spark session created successfully
2026-02-17 09:48:10,468 | INFO | heartbeats_consumer | Reading from Kafka topic: heartbeats
2026-02-17 09:48:16,730 | INFO | heartbeats_consumer | Starting Spark Streaming application...
2026-02-17 09:48:21,281 | INFO | heartbeats_consumer | Spark session created successfully
2026-02-17 09:48:21,282 | INFO | heartbeats_consumer | Reading from Kafka topic: heartbeats
2026-02-17 09:48:27,777 | INFO | heartbeats_consumer | Starting Spark Streaming application...
2026-02-17 09:48:32,593 | INFO | heartbeats_consumer | Spark session created successfully
2026-02-17 09:48:32,594 | INFO | heartbeats_consumer | Reading from Kafka topic: heartbeats
2026-02-17 09:48:39,309 | INFO | heartbeats_consumer | Starting Spark Streaming application...
2026-02-17 09:48:43,960 | INFO | heartbeats_consumer | Spark session created successfully
2026-02-17 09:48:43,961 | INFO | heartbeats_consumer | Reading from Kafka topic: heartbeats
2026-02-17 09:48:51,625 | INFO | heartbeats_consumer | Starting Spark Streaming application...
2026-02-17 09:48:56,296 | INFO | heartbeats_consumer | Spark session created successfully
2026-02-17 09:48:56,297 | INFO | heartbeats_consumer | Reading from Kafka topic: heartbeats
2026-02-17 09:49:02,824 | INFO | heartbeats_consumer | Starting Spark Streaming application...
2026-02-17 09:49:07,443 | INFO | heartbeats_consumer | Spark session created successfully
2026-02-17 09:49:07,444 | INFO | heartbeats_consumer | Reading from Kafka topic: heartbeats
2026-02-17 09:49:14,531 | INFO | heartbeats_consumer | Starting Spark Streaming application...
2026-02-17 09:49:18,919 | INFO | heartbeats_consumer | Spark session created successfully
2026-02-17 09:49:18,920 | INFO | heartbeats_consumer | Reading from Kafka topic: heartbeats
2026-02-17 09:49:25,264 | INFO | heartbeats_consumer | Starting Spark Streaming application...
2026-02-17 09:49:29,655 | INFO | heartbeats_consumer | Spark session created successfully
